nome,descrizione,colori,immagine,marca
Base a pavimento in PVC biestruso per unità esterna,Necessarie per garantire il giusto ancoraggio e la giusta stabilità alla macchina Materiale: PVC antiurto.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPLUS350_0.jpg,First Corporation
Base a pavimento per unità esterna,Necessarie per garantire il giusto ancoraggio e la giusta stabilità alla macchina Materiale: PVC antiurto.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPBS350P_0.jpg,First Corporation
Base a pavimento per unità esterna,Necessarie per garantire il giusto ancoraggio e la giusta stabilità alla macchina Materiale: PVC antiurto.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPBS380_0.jpg,First Corporation
Canalina,Indispensabile per il passaggio di tubi e cavi per impianti di condizionamento Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRC6550B_0.jpg,First Corporation
Canalina avvolgibile,Indispensabile per il passaggio di tubi e cavi per impianti di condizionamento Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRA6550B_0.jpg,First Corporation
Canalina avvolgibile con pellicola,Indispensabile per il passaggio di tubi e cavi per impianti di condizionamento Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRA6550B-pellicola.jpg,First Corporation
Canalina per cavi elettrici,Indispensabile per raccogliere e nascondere i cavi elettrici in modo ordinato e sicuro Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRE1816B.jpg,First Corporation
Canalina scarico condensa,Indispensabile per eliminare eventuale formazione e deposito di condensa Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRC2525B.jpg,First Corporation
Cassetta idronica,Predisposta al passaggio di tubi isolati e cavi elettrici Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/HYBOX1-1.jpg,First Corporation
Cassetta predisposizione impianti EASYBOX,Completa di scarico condensa destro o sinistro reversibile Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSPR50_00.jpg,First Corporation
Cassetta predisposizione impianti FIRSTBOX,La prima cassetta reversibile con sifone a secco ad attacco diretto Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FBOX50-1.jpg,First Corporation
Cassetta predisposizione impianti SMARTBOX,Completa di 2 uscite per la raccolta della condensa Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSPS50_00.jpg,First Corporation
Cassetta predisposizione impianti STARBOX,Completa di scarico condensa destro o sinistro reversibile Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSPB_0-1.jpg,First Corporation
Cassetta predisposizione impianti UNIBOX,Completa di coperchio reversibile destro e sinistro Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSP2.jpg,First Corporation
Clip di bloccaggio,Indispensabile per mantenere i tubi e i cavi in posizione corretta Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSTU6550-1.jpg,First Corporation
Clip di bloccaggio,Indispensabile per mantenere i tubi e i cavi in posizione corretta Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSTU7055-1.jpg,First Corporation
Clip di bloccaggio per canalina avvolgibile,Indispensabile per mantenere i tubi e i cavi in posizione corretta Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FSTA6550-1.jpg,First Corporation
Collarino per fissaggio,Indispensabile per il fissaggio dei tubi Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CNC20-2.jpg,First Corporation
Curva 45°,La tenuta fra gli accessori e il tubo è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSC4520-1.jpg,First Corporation
Curva 90°,La tenuta fra gli accessori e il tubo è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSC9020-1.jpg,First Corporation
Curva a 90°,Adatta per essere utilizzata come raccordo negli impianti Materiale: Nylon.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSS16.jpg,First Corporation
Curva esterna,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCE70B-1.jpg,First Corporation
Curva esterna 90°,Indispensabile per poter raccordare la canalina a 90° verso l’esterno Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCE3530B.jpg,First Corporation
Curva interna,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCI70B-1.jpg,First Corporation
Curva interna 90°,Indispensabile per poter raccordare la canalina a 90° verso l’interno Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCI3530B.jpg,First Corporation
Curva piana,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCP70B-1.jpg,First Corporation
Curva piana 90°,In Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCP3530B-1.jpg,First Corporation
Curva regolabile da 45° a 135°,Pratica e versatile poiché permette di regolare l’ampiezza della curva con l’angolazione desiderata Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCR6550B-1.jpg,First Corporation
Curva terminale a muro,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCV70B-1.jpg,First Corporation
Curva terminale per ingresso a muro,Indispensabile per coprire il foro a muro e allo stesso tempo per completare il tratto terminale della canalina Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FCV6550B-1.jpg,First Corporation
Derivazione,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FD70B.jpg,First Corporation
Derivazione a “T”,Indispensabile in casi di installazioni multiple poiché permette di separare tubi e cavi Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FD8060B.jpg,First Corporation
Fascia isolante anticondensa,Garantisce un eccellente isolamento ed il controllo della condensa negli impianti di condizionamento Materiale: Gomma / Polietilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/ISO2.jpg,First Corporation
Giunto,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FG70B-1.jpg,First Corporation
Giunto,Indispensabile per congiungere due canaline Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FG3530B.jpg,First Corporation
Giunto con guarnizione,Utile per coprire eventuali imperfezioni tra la canalina e la parete dello split Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FGG6550B.jpg,First Corporation
Giunto flessibile,Indispensabile per poter aggirare ostacoli e risolvere tutte le situazioni più complicate in fase di installazione Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FGF6550B.jpg,First Corporation
Kit antivibranti per unità esterna,Permettono di isolare e spesso eliminare del tutto le vibrazioni prodotte dalle macchine Materiale: Gomma.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPKAM30-1.jpg,First Corporation
Kit bacinella raccogli condensa universale,Installata sotto le unità esterne raccoglie eventuale formazione di condensa Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/BAC7939_0.jpg,First Corporation
Kit Fascette fermatubi universali,Agevola e velocizza i tempi di installazione della canalina Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FFUB.jpg,First Corporation
Kit ferma macchina per staffe in poliammide,Pratico e sicuro per una posa in opera più veloce Materiale: Nylon e fibra di vetro.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPKPA-1.jpg,First Corporation
Kit mini pompa scarico condensa,Ideali per impianti commerciali e domestici di piccole dimensioni Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/PMINIOR.jpg,First Corporation
Kit mini pompa scarico condensa,Ideale per installazioni dirette all’interno dell’unità Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/PMINIAQ.jpg,First Corporation
Kit Piegatubo,Mai più tubi schiacciati durante l’installazione Materiale: Plastica.,"Blu, Giallo, Rosso, Verde",https://www.firstcorporation.it/wp-content/uploads/2023/12/KCUR1-1.jpg,First Corporation
Kit pompa per caldaia a condensazione,Progettata per recuperare il calore e per essere installata sotto le caldaie e forni a gas ad uso domestico Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/PSSCKI.jpg,First Corporation
Kit sifone a secco ispezionabile,Indispensabili per eliminare i cattivi odori provenienti dal tubo di scarico condensa degli impianti di condizionamento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/KSIFM.jpg,First Corporation
Manicotto,Indispensabile per il collegamento di due tubi Materiale: Nylon.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MSS16-1.jpg,First Corporation
Manicotto di congiunzione da tubo flessibile a rigido,La tenuta fra gli accessori e il tubo è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MFR2020.jpg,First Corporation
Manicotto FF,La tenuta fra il tubo e gli accessori è garantita dagli o-ring premontati sugli accessori stessi Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MSC20-1.jpg,First Corporation
Manicotto per tubo da ø 16 a 20 mm,Indispensabile per il collegamento di due tubi con diametro diverso Materiale: Nylon.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/MSS16.jpg,First Corporation
Micro sifone a secco ispezionabile,Indispensabili per eliminare i cattivi odori provenienti dal tubo di scarico condensa degli impianti di condizionamento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/SIFM.jpg,First Corporation
Mini pompa scarico condensa,Le pompe scarico condensa sono ideali per climatizzatori con ridotto spazio interno Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PMINI2.jpg,First Corporation
Nastro autoadesivo anticondensa,Garantisce un eccellente isolamento e tenuta per il controllo della condensa negli impianti di condizionamento Materiale: Alluminio.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/ISOA.jpg,First Corporation
Passaggio a muro,Indispensabile per coprire eventuali imperfezioni presenti nel foro passante a muro Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPM6550B.jpg,First Corporation
Piletta scarico condensa,Indispensabile per convogliare la condensa in una tubazione Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PS19.jpg,First Corporation
Placca di passaggio muro,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPM70B-1.jpg,First Corporation
Pompa per caldaia a condensazione,Ideate per poter resistere alla condensa acida creata dalle caldaie Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PSCC355-1.jpg,First Corporation
Pompa scarico condensa,Ideale per climatizzatori con ridotto spazio interno Materiale: Plastica.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PSC8.jpg,First Corporation
Profilo scatolato estruso,Linea ProfilTop la canalina professionale per il condizionamento Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FPRT70B.jpg,First Corporation
Protezione per rubinetti gas freon,Indispensabile per preservarli ed evitare eventuali perdite Materiale: Gomma.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RUBF_0.jpg,First Corporation
Raccordo 90°,Installabile in cassette con scarico condensa verticale Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/RG90_01.jpg,First Corporation
Raccordo a “T”,La tenuta fra gli accessori e il tubo è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TSC20-1.jpg,First Corporation
Raccordo a “Y” universale,"Utilizzato per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: PP.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RTY2016B.jpg,First Corporation
Raccordo a 3 vie a “Y”,"Utilizzato per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: Nylon.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/YSS16.jpg,First Corporation
Raccordo a 3 vie a “T”,"Utilizzato per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: Nylon.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TSS16.jpg,First Corporation
Raccordo a 3 vie a “L” per tubo flessibile,"Utilizzato per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: PP.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RTL18.jpg,First Corporation
Raccordo a 3 vie a “T” per tubo flessibile,"Utilizzato per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: PP.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RTT18.jpg,First Corporation
Raccordo a 3 vie a “Y” per tubo flessibile,"Utilizzati per impianti multi-split, conducono lo scarico di due unità ad un’unica tubazione Materiale: PP.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RTY18-1.jpg,First Corporation
Raccordo per scarico condensa,Collega un tubo rigido o l’uscita della cassetta predisposizione al tubo spiralato Materiale: Nylon.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/RST1620.jpg,First Corporation
Raccordo riduzione dritto,Indispensabile per poter passare da un tubo 20 mm a 16 mm Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/04/RSC2016_0-2.jpg,First Corporation
Raccordo da tubo rigido a flessibile,Indispensabile per raccordare i tubi di uscita dell’acqua di condensa al tubo rigido Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RDP16-1.jpg,First Corporation
"Raccordo speciale per tubi rigidi, corrugati e spiralati",Versatile in quanto si adatta a diverse tipologie di tubi Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RDO18-1.jpg,First Corporation
Raccordo terminale antinsetto,Evita che gli insetti si annidino all’interno del tubo Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RTA20-1.jpg,First Corporation
Riduzione da serie 100 a 70,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FR1070B.jpg,First Corporation
Riduzione FF,La tenuta fra gli accessori e il tubo è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/RDS2520-1.jpg,First Corporation
Riduzione per derivazione a “T”,Indispensabile per poter raccordare canaline di dimensioni diverse Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FR8065B-1.jpg,First Corporation
Sifone meccanico a secco ispezionabile,Indispensabili per eliminare i cattivi odori provenienti dal tubo di scarico condensa degli impianti di condizionamento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/SIMB32.jpg,First Corporation
Sifone per scarico condensa SMART,Indispensabili per eliminare i cattivi odori provenienti dal tubo di scarico condensa degli impianti di condizionamento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/KSIFS_0.jpg,First Corporation
Sifone per scarico condensa UNI,Indispensabili per eliminare i cattivi odori provenienti dal tubo di scarico condensa degli impianti di condizionamento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/KSIFU_0-1.jpg,First Corporation
Staffa a parete in acciaio per unità esterna,Universale e regolabile e resistente al carico Materiale: Acciaio Inox AISI304.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSIN520_.jpg,First Corporation
Staffa a parete per unità esterna,"Universale, regolabile e completa di accessori per il montaggio Materiale: Lamiera verniciata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSP450.jpg,First Corporation
Staffa a parete per unità esterna,"Universale, regolabile e dotata di un aggancio rapido con vite a tenuta Materiale: Lamiera verniciata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSR600.jpg,First Corporation
Staffa a tetto regolabile per unità esterna,Regolabile e indicata per sistemi di climatizzazioni mono e multi split Materiale: Lamiera verniciata.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPST480-1.jpg,First Corporation
Staffa RAPIDA a parete per unità esterna,"Universale, regolabile e dotata di un aggancio rapido con vite a tenuta Materiale: Lamiera verniciata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSR420AG-p.jpg,First Corporation
Staffa RAPIDA a parete premontata per unità esterna,"Universale, regolabile, premontata e dotata di un aggancio rapido con vite a tenuta Materiale: Lamiera verniciata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSR420AG-p.jpg,First Corporation
Staffa universale per unità esterna,Universale e completa di accessori per il montaggio Materiale: Lamiera verniciata.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSS420-1.jpg,First Corporation
Staffe a parete in poliammide,Realizzate con tecnopolimeri che ne garantiscono un’alta resistenza e grande capacità di carico Materiale: Poliammide.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPSPA520.jpg,First Corporation
Supporto a pavimento ECOBLOCK,Supporto a pavimento che garantisce il massimo assorbimento delle vibrazioni Materiale: Mescola SBR vulcanizzata.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPGO250_01.jpg,First Corporation
Supporto per unità esterna,Necessari per garantire il giusto ancoraggio e la giusta stabilità alla macchina Materiale: Termoplastico rinforzato.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/ESFN1.jpg,First Corporation
Supporto per unità esterna,Necessari per garantire il giusto ancoraggio e la giusta stabilità alla macchina Materiale: Termoplastico rinforzato.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/ESB1.jpg,First Corporation
Tappo per base a pavimento,Necessario per chiudere la parte frontale della base a pavimento Materiale: PVC antiurto.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPBS380_0.jpg,First Corporation
Tappo Terminale,"Indispensabile a fine condotta, per ultimare un tratto lineare, garantendo una totale copertura ed un minimo ingombro Materiale: .",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FTP3530B.jpg,First Corporation
Telo protettivo per unità esterna,Indispensabile per riparare la macchina da polvere e agenti atmosferici che potrebbero danneggiare l’unità Materiale: Tessuto.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/EPTELO1.jpg,First Corporation
Tubo rigido,La tenuta fra il tubo e gli accessori è garantita dagli o-ring premontati Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TEC20-1.jpg,First Corporation
Tubo scarico condensa acida flessibile biestruso,Indispensabile per caldaie a condensazione garantisce resistenza e massima sicurezza contro il rischio di microfori ed eventuali perdite Materiale: PP.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/TSCR1618.jpg,First Corporation
Tubo scarico condensa flessibile,Indispensabile per impianti sotto traccia in quanto è resistente allo schiacciamento Materiale: PP.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TSC1618.jpg,First Corporation
Tubo scarico condensa flessibile biestruso,Garantisce resistenza e massima sicurezza contro il rischio di microfori ed eventuali perdite Materiale: PP.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TSCB1618.jpg,First Corporation
Tubo scarico condensa spiralato,Indispensabile il suo utilizzo in un impianto di condizionamento per evitare la formazione e il ristagno di condensa Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TRC1630-1.jpg,First Corporation
Tubo trasparente, Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/TSCT69.jpg,First Corporation
Vite di fissaggio,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: METALLO.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/t545-3.jpg,First Corporation
